backend,sample_idx,sample_rel,feature_idx,shape,max_abs,mean_abs,p95_abs,cosine,relative_l2
trt_fp32_default,15,test/defect/2_74.bmp,2,1x1024x16x16,0.02100849151611328,0.0004935623146593571,0.001314482418820262,0.9999987483024597,0.0016814280534163117
trt_fp32_default,15,test/defect/2_74.bmp,3,1x1024x16x16,0.2518730163574219,0.006087932735681534,0.016008954495191574,0.999994158744812,0.003487193025648594
trt_fp32_default,16,test/defect/2_80.bmp,0,1x1024x16x16,0.0019974024035036564,5.398584471549839e-05,0.00017124356236308813,0.999998927116394,0.0014219885924831033
trt_fp32_default,16,test/defect/2_80.bmp,1,1x1024x16x16,0.002395927906036377,0.00012862792937085032,0.0003274939372204244,0.9999984502792358,0.001809821231290698
trt_fp32_default,16,test/defect/2_80.bmp,2,1x1024x16x16,0.025970458984375,0.00047606040607206523,0.0012626899406313896,0.9999987483024597,0.0016336843837052584
trt_fp32_default,16,test/defect/2_80.bmp,3,1x1024x16x16,0.21171951293945312,0.006146392785012722,0.01612226665019989,0.9999942183494568,0.003477714955806732
trt_fp32_default,17,test/defect/2_81.bmp,0,1x1024x16x16,0.001771390438079834,5.4634827392874286e-05,0.00017257349099963903,0.9999989867210388,0.0014198425924405456
trt_fp32_default,17,test/defect/2_81.bmp,1,1x1024x16x16,0.002296149730682373,0.0001255967072211206,0.0003187874099239707,0.9999984502792358,0.0017670894740149379
trt_fp32_default,17,test/defect/2_81.bmp,2,1x1024x16x16,0.0370330810546875,0.00046759951510466635,0.0012276503257453442,0.9999986886978149,0.0016022868221625686
trt_fp32_default,17,test/defect/2_81.bmp,3,1x1024x16x16,0.30104827880859375,0.005782129243016243,0.015088447369635105,0.9999945759773254,0.003375167725607753
trt_fp32_default,18,test/defect/2_84.bmp,0,1x1024x16x16,0.0016556978225708008,5.383980897022411e-05,0.0001715049147605896,0.9999990463256836,0.0014224727638065815
trt_fp32_default,18,test/defect/2_84.bmp,1,1x1024x16x16,0.0033930838108062744,0.00012446631444618106,0.0003175655147060752,0.9999985694885254,0.0017670843517407775
trt_fp32_default,18,test/defect/2_84.bmp,2,1x1024x16x16,0.0273895263671875,0.00047621154226362705,0.0012536048889160156,0.9999986290931702,0.0016150727169588208
trt_fp32_default,18,test/defect/2_84.bmp,3,1x1024x16x16,0.1480388641357422,0.005849498324096203,0.015262208878993988,0.9999944567680359,0.0033686074893921614
trt_fp32_default,19,test/defect/2_89.bmp,0,1x1024x16x16,0.0014547258615493774,5.197130667511374e-05,0.00016473978757858276,0.9999990463256836,0.0013805723283439875
trt_fp32_default,19,test/defect/2_89.bmp,1,1x1024x16x16,0.0019814670085906982,0.00012236296606715769,0.0003118962049484253,0.9999985694885254,0.0017295822035521269
trt_fp32_default,19,test/defect/2_89.bmp,2,1x1024x16x16,0.023576736450195312,0.0004995400086045265,0.001327165518887341,0.9999985098838806,0.0016918294131755829
trt_fp32_default,19,test/defect/2_89.bmp,3,1x1024x16x16,0.21002483367919922,0.006093223579227924,0.016109617426991463,0.9999942183494568,0.0034682995174080133
trt_fp32_tf32_disabled,0,val/good/1_746.bmp,0,1x1024x16x16,3.863126039505005e-06,6.423638865271641e-08,2.0116567611694336e-07,1.0,1.7501644151707296e-06
trt_fp32_tf32_disabled,0,val/good/1_746.bmp,1,1x1024x16x16,1.0579824447631836e-05,1.8515279975872545e-07,5.066394805908203e-07,1.0,2.7698176836565835e-06
trt_fp32_tf32_disabled,0,val/good/1_746.bmp,2,1x1024x16x16,5.340576171875e-05,5.827374707223498e-07,1.519918441772461e-06,1.0,1.9832391444651876e-06
trt_fp32_tf32_disabled,0,val/good/1_746.bmp,3,1x1024x16x16,0.000202178955078125,5.534643605642486e-06,1.4781951904296875e-05,1.0,3.2033610750659136e-06
trt_fp32_tf32_disabled,1,val/good/1_764.bmp,0,1x1024x16x16,3.405846655368805e-06,6.427642063044914e-08,2.0116567611694336e-07,1.0000001192092896,1.7308921087533236e-06
trt_fp32_tf32_disabled,1,val/good/1_764.bmp,1,1x1024x16x16,4.470348358154297e-06,1.9041442556044785e-07,5.21540641784668e-07,0.9999999403953552,2.803535153361736e-06
trt_fp32_tf32_disabled,1,val/good/1_764.bmp,2,1x1024x16x16,7.62939453125e-05,5.981184472148016e-07,1.5497207641601562e-06,0.9999999403953552,2.0577037957991706e-06
trt_fp32_tf32_disabled,1,val/good/1_764.bmp,3,1x1024x16x16,0.0002231597900390625,5.566987965721637e-06,1.5020370483398438e-05,1.0,3.238201998101431e-06
trt_fp32_tf32_disabled,2,val/good/1_768.bmp,0,1x1024x16x16,3.1990930438041687e-06,6.478699532408427e-08,2.0116567611694336e-07,1.0,1.7095100020014797e-06
trt_fp32_tf32_disabled,2,val/good/1_768.bmp,1,1x1024x16x16,3.427267074584961e-06,1.8479877894606034e-07,4.991888999938965e-07,1.0,2.713214144023368e-06
trt_fp32_tf32_disabled,2,val/good/1_768.bmp,2,1x1024x16x16,7.62939453125e-05,5.869902111044212e-07,1.519918441772461e-06,1.0,1.9765527667914284e-06
trt_fp32_tf32_disabled,2,val/good/1_768.bmp,3,1x1024x16x16,0.00046062469482421875,5.77109813093557e-06,1.52587890625e-05,1.0,3.321388476251741e-06
trt_fp32_tf32_disabled,3,val/good/1_771.bmp,0,1x1024x16x16,3.7401914596557617e-06,6.414450126612792e-08,1.9744038581848145e-07,1.0,1.70588839409902e-06
trt_fp32_tf32_disabled,3,val/good/1_771.bmp,1,1x1024x16x16,4.0531158447265625e-06,1.8525724954088219e-07,5.066394805908203e-07,1.0,2.7406510980654275e-06
trt_fp32_tf32_disabled,3,val/good/1_771.bmp,2,1x1024x16x16,8.392333984375e-05,5.863182082066487e-07,1.5198093024082482e-06,1.0,1.97966733139765e-06
trt_fp32_tf32_disabled,3,val/good/1_771.bmp,3,1x1024x16x16,0.0002841949462890625,5.19010063726455e-06,1.3828277587890625e-05,1.0,3.0200953915482387e-06
trt_fp32_tf32_disabled,4,val/good/1_784.bmp,0,1x1024x16x16,4.590488970279694e-06,6.426525089864299e-08,2.0116567611694336e-07,1.0,1.699826384538028e-06
trt_fp32_tf32_disabled,4,val/good/1_784.bmp,1,1x1024x16x16,5.9604644775390625e-06,1.8964611570027046e-07,5.21540641784668e-07,1.0,2.829198592735338e-06
trt_fp32_tf32_disabled,4,val/good/1_784.bmp,2,1x1024x16x16,7.62939453125e-05,5.915244400966913e-07,1.5273690223693848e-06,1.0,2.022695525738527e-06
trt_fp32_tf32_disabled,4,val/good/1_784.bmp,3,1x1024x16x16,0.00081634521484375,5.650107596011367e-06,1.5020370483398438e-05,1.0,3.355995431775227e-06
trt_fp32_tf32_disabled,5,val/good/1_807.bmp,0,1x1024x16x16,4.1816383600234985e-06,6.267863739140012e-08,1.9371509552001953e-07,1.0,1.7053301917258068e-06
trt_fp32_tf32_disabled,5,val/good/1_807.bmp,1,1x1024x16x16,4.500150680541992e-06,1.849745672188874e-07,5.126930773258209e-07,1.0000001192092896,2.751649844867643e-06
trt_fp32_tf32_disabled,5,val/good/1_807.bmp,2,1x1024x16x16,9.1552734375e-05,5.877543003407482e-07,1.519918441772461e-06,1.0,1.9952558432123624e-06
trt_fp32_tf32_disabled,5,val/good/1_807.bmp,3,1x1024x16x16,0.000400543212890625,5.535352556762518e-06,1.4781951904296875e-05,1.0,3.2188922887144145e-06
trt_fp32_tf32_disabled,6,val/good/1_833.bmp,0,1x1024x16x16,4.730303771793842e-06,6.393916862634796e-08,1.9744038581848145e-07,1.0,1.6996892782117357e-06
trt_fp32_tf32_disabled,6,val/good/1_833.bmp,1,1x1024x16x16,4.902482032775879e-06,1.848461295139714e-07,4.963403625879437e-07,1.0,2.7276025775790913e-06
trt_fp32_tf32_disabled,6,val/good/1_833.bmp,2,1x1024x16x16,8.392333984375e-05,5.929723556619138e-07,1.5236437320709229e-06,1.0000001192092896,2.049793238256825e-06
trt_fp32_tf32_disabled,6,val/good/1_833.bmp,3,1x1024x16x16,0.00037384033203125,5.430862984212581e-06,1.430511474609375e-05,0.9999998807907104,3.1925296752888244e-06
trt_fp32_tf32_disabled,7,val/good/1_838.bmp,0,1x1024x16x16,4.180707037448883e-06,6.347690373331716e-08,1.9744038581848145e-07,1.0,1.700681082184019e-06
