stage,alpha,threshold,calib_precision,calib_recall,calib_f1,calib_accuracy,calib_fpr,test_precision,test_recall,test_f1,test_accuracy,test_fpr,test_tp,test_fp,test_tn,test_fn,auc_roc,auc_pr
S5,0.23,2.012718102408057,0.8125,0.7959183673469388,0.8041237113402061,0.87248322147651,0.09,0.8870967741935484,0.7857142857142857,0.8333333333333333,0.912,0.03888888888888889,55,7,173,15,0.9777777777777777,0.9369658939787704
S5,0.24,2.0937361096212688,0.8125,0.7959183673469388,0.8041237113402061,0.87248322147651,0.09,0.8852459016393442,0.7714285714285715,0.8244274809160306,0.908,0.03888888888888889,54,7,173,16,0.9780952380952381,0.937633397123016
S5,0.25,2.0208519525292976,0.8163265306122449,0.8163265306122449,0.8163265306122449,0.8791946308724832,0.09,0.8888888888888888,0.8,0.8421052631578948,0.916,0.03888888888888889,56,7,173,14,0.9781746031746031,0.9374692558216706
S5,0.26,2.045182636101886,0.8163265306122449,0.8163265306122449,0.8163265306122449,0.8791946308724832,0.09,0.890625,0.8142857142857143,0.8507462686567163,0.92,0.03888888888888889,57,7,173,13,0.978015873015873,0.9365894996648033
S5,0.27,2.018316981703387,0.8163265306122449,0.8163265306122449,0.8163265306122449,0.8791946308724832,0.09,0.8939393939393939,0.8428571428571429,0.8676470588235294,0.928,0.03888888888888889,59,7,173,11,0.9783333333333333,0.937120389057352
S5,0.28,1.846214298883753,0.7543859649122807,0.8775510204081632,0.8113207547169812,0.8657718120805369,0.14,0.8695652173913043,0.8571428571428571,0.8633093525179856,0.924,0.05,60,9,171,10,0.9787301587301588,0.937897985672569
S5,0.29,1.904664227581025,0.7678571428571429,0.8775510204081632,0.819047619047619,0.87248322147651,0.13,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.928,0.05,61,9,171,9,0.9791269841269842,0.9389377669825691
S5,0.3,1.9377200185078909,0.7818181818181819,0.8775510204081632,0.8269230769230769,0.8791946308724832,0.12,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.928,0.05,61,9,171,9,0.979047619047619,0.938382458675651
S5,0.31,1.910854364109392,0.7818181818181819,0.8775510204081632,0.8269230769230769,0.8791946308724832,0.12,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.928,0.05,61,9,171,9,0.9788888888888889,0.9378636944688485
S5,0.32,2.0292100518700975,0.7884615384615384,0.8367346938775511,0.8118811881188118,0.87248322147651,0.11,0.8840579710144928,0.8714285714285714,0.8776978417266188,0.932,0.044444444444444446,61,8,172,9,0.9792063492063492,0.9384333528012544
S5,0.33,2.0210279298081364,0.7884615384615384,0.8367346938775511,0.8118811881188118,0.87248322147651,0.11,0.8840579710144928,0.8714285714285714,0.8776978417266188,0.932,0.044444444444444446,61,8,172,9,0.9796825396825397,0.9395946640639693
S5,0.34,2.168925324651555,0.8,0.8163265306122449,0.8080808080808082,0.87248322147651,0.1,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,0.044444444444444446,59,8,172,11,0.9802380952380952,0.9407109837821921
S5,0.35,2.2217775440656613,0.8,0.8163265306122449,0.8080808080808082,0.87248322147651,0.1,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,0.044444444444444446,59,8,172,11,0.9803174603174603,0.9410750894911254
S5,0.36,2.2746297634797674,0.8,0.8163265306122449,0.8080808080808082,0.87248322147651,0.1,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,0.044444444444444446,59,8,172,11,0.9805555555555555,0.9415715068296345
S5,0.37,2.3108790226144738,0.8,0.8163265306122449,0.8080808080808082,0.87248322147651,0.1,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,0.044444444444444446,59,8,172,11,0.9803174603174603,0.9409346695092102
S5,0.38,2.2782344819007294,0.8,0.8163265306122449,0.8080808080808082,0.87248322147651,0.1,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.044444444444444446,60,8,172,10,0.9803174603174603,0.9408279520437623
S5,0.39,2.2455899411869846,0.7843137254901961,0.8163265306122449,0.8,0.8657718120805369,0.11,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.044444444444444446,60,8,172,10,0.9803968253968254,0.9413021267098778
S5,0.4,1.9637530753744086,0.7592592592592593,0.8367346938775511,0.796116504854369,0.8590604026845637,0.13,0.875,0.9,0.8873239436619719,0.936,0.05,63,9,171,7,0.9804761904761904,0.9414762783177035
S5,0.41,1.9555709533124475,0.7592592592592593,0.8367346938775511,0.796116504854369,0.8590604026845637,0.13,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,0.05,64,9,171,6,0.9805555555555555,0.9414535299179723
